simulation,strategy_return,buy_hold_return,sharpe_ratio,max_drawdown,outperformed
121,0.05284309400760434,2.359343145539511,0.18216205020191695,-0.6962955953055989,False
122,-0.46954218858518804,-0.34954541095336256,-0.1470409483000692,-0.6307318383657736,False
123,3.198404654431614,11.822472936960557,0.8585366536155321,-0.4379315423501821,False
124,0.41376968171238393,-0.34706125764456697,0.3236239321740281,-0.45286135192321003,True
125,-0.5454297550853939,-0.5302394742963294,-0.24831563511507523,-0.7939510354107523,False
126,1.1500629491059589,5.591278675607175,0.5286720368706938,-0.5637677863681366,False
127,2.616514143457078,1.8577308249983564,0.7931176909769848,-0.4223898948967624,True
128,4.236770179387745,1.01144823800484,0.9890942678651787,-0.5529941010073259,True
129,2.1605981264298637,4.263344482971418,0.7218018516984159,-0.4958078122066763,False
130,-0.5168672400233778,-0.4028325411512018,-0.1889011523715384,-0.7876442428773985,False
131,-0.5875576161382399,-0.2683721811959542,-0.2878707288781514,-0.7582637046934608,False
132,-0.8163019511609955,-0.9680471700788605,-0.6770441218416344,-0.8455845482682303,True
133,0.670964693670246,1.7617782145480518,0.40857320884403625,-0.828117943107897,False
134,0.27407355037698533,-0.3372969694789695,0.2738659039498365,-0.6122735314962999,True
135,1.0311062209430002,32.23034832190594,0.5078023715912636,-0.4459034518972123,False
136,0.7400273601497009,-0.475891845786921,0.42706517123345644,-0.6683786763514559,True
137,-0.055163091046658175,-0.258419180746144,0.12128445107010274,-0.5451498801637432,True
138,-0.4168988571740917,11.795209205353439,-0.1127682416394199,-0.6324402842810253,False
139,3.031325448349146,21.36217960865014,0.8436820403660905,-0.4448719514116556,False
140,-0.3072774179208403,0.5476910766984149,-0.018755445603558064,-0.6047317390857313,False
141,0.9036075762978184,-0.1758750543409009,0.4750937684736023,-0.3759474707463571,True
142,-0.21593580614519314,-0.6859689400440887,0.04150140918857582,-0.8101275957123663,True
143,0.1355305662797619,1.9923258563020854,0.21671564631798768,-0.7133477874014145,False
